Service_ID,Customer_Type,Service_Type,Location,Waste_Type,Service_Cost,Service_Date,Collection_Time_Minutes,Request_Count,Customer_ID,Customer_Name,Email,Phone_Number
SVC0001,Government,Recycling,Boston,Metal,315.63,2024-01-01,127,3,CUST0001,John Brown,david.jones@example.com,(533)-140-6699
SVC0002,Residential,Recycling,New York,Metal,171.51,2024-01-02,156,1,CUST0002,Sarah Miller,emily.garcia@example.com,(345)-596-9258
SVC0003,Enterprise,Industrial Waste,Chicago,Metal,94.76,2024/01/03,65,3,CUST0003,,emily.garcia@example.com,1711-882-)532(
SVC0004,Residential,Commercial Pickup,Chicago,Mixed Waste,679.26,2024-01-04,86,1,CUST0004,Sarah Davis,,(798)-727-3139
SVC0005,Enterprise,Residential Pickup,Denver,Plastic,800.74,2024-01-05,40,2,CUST0005,,sarah.brown@example.com,(750)-793-3779
SVC0006,Government,Commercial Pickup,Denver,Organic,387.38,2024-01-06,19,3,CUST0006,Sarah Brown,john.smith@example.com,(481)-320-8455
SVC0007,Residential,Residential Pickup,Seattle,Plastic,576.43,2024-01-07,48,4,CUST0007,John Miller,john.smith@example.com,(311)-977-9271
SVC0008,Enterprise,Industrial Waste,Chicago,Paper,742.16,2024-01-08,140,4,CUST0008,Michael Davis,michael.williams@example.com,(153)-610-7158
SVC0009,Small Business,Industrial Waste,Chicago,Plastic,453.06,2024-01-09,91,1,CUST0009,Emily Martinez,michael.williams@example.com,(518)-926-8844
SVC0010,Residential,Residential Pickup,Houston,Glass,56.31,2024-01-10,127,5,CUST0010,Jane Brown,sarah.brown@example.com,(153)-610-7158
SVC0011,Residential,Industrial Waste,Miami,Paper,877.72,2024/01/11,78,3,CUST0011,Robert Martinez,emily.garcia@example.com,(398)-322-9809
SVC0012,Government,Commercial Pickup,New York,Glass,195.42,2024-01-12,19,3,CUST0012,Jane Smith,michael.williams@example.com,(556)-377-9286
SVC0013,Residential,Industrial Waste,Seattle,Organic,970.2,2024-01-13,132,4,CUST0013,John Miller,james.rodriguez@example.com,(160)-402-5917
SVC0014,Government,Recycling,Miami,Mixed Waste,390.36,2024-01-14,124,4,CUST0014,Michael Smith,linda.davis@example.com,(499)-263-5579
SVC0015,Small Business,Recycling,Denver,Plastic,713.34,2024-01-15,170,1,CUST0015,Linda Rodriguez,patricia.martinez@example.com,(518)-553-4163
SVC0016,Residential,Recycling,Miami,Metal,322.75,2024-01-16,89,2,CUST0016,John Garcia,moc.elpmaxe@smailliw.leahcim,(500)-551-4573
SVC0017,Small Business,Industrial Waste,Houston,Mixed Waste,637.95,2024-01-17,169,1,CUST0017,Robert Williams,patricia.martinez@example.com,(235)-288-1171
SVC0018,Government,Recycling,Seattle,Plastic,791.96,2024-01-18,32,1,CUST0018,Linda Rodriguez,,(359)-916-4837
SVC0019,Residential,Residential Pickup,Seattle,Metal,797.65,2024-01-19,16,2,CUST0019,James Martinez,john.smith@example.com,(685)-812-1746
SVC0020,Government,Residential Pickup,Los Angeles,Paper,252.98,2024-01-20,44,3,CUST0020,Robert Brown,john.smith@example.com,(573)-826-1930
SVC0021,Enterprise,Industrial Waste,Chicago,Glass,889.11,2024-01-21,57,1,CUST0021,James Brown,david.jones@example.com,(699)-909-8715
